,locality,type of property,subtype of property,price,number_rooms,living_area,kitchen,furnished,fireplace,terrace,terrace_area,garden,garden_area,surface_land,number_facades,swimming_pool,building_state
140,Gent Zwijnaarde,HOUSE,VILLA,799000.0,5.0,341.0,INSTALLED,False,,True,,,,1249,4,True,TO_BE_DONE_UP
141,Trooz,HOUSE,HOUSE,79000.0,3.0,125.0,NOT_INSTALLED,False,,,,,,64,2,False,TO_RENOVATE
142,FLÉMALLE-HAUTE,HOUSE,HOUSE,269000.0,3.0,130.0,SEMI_EQUIPPED,,-1.0,True,20.0,True,227.0,335,3,,GOOD
143,Gent,HOUSE,HOUSE,285000.0,3.0,110.0,SEMI_EQUIPPED,,-1.0,,,True,4.0,54,2,,TO_RESTORE
144,Hoogstraten,HOUSE,VILLA,495000.0,3.0,179.0,,,,,,True,415.0,775,4,,GOOD
145,Schoten,HOUSE,VILLA,735000.0,3.0,260.0,INSTALLED,False,,True,,True,1250.0,1492,4,,GOOD
146,Woluwe-Saint-Pierre,HOUSE,HOUSE,1040000.0,5.0,250.0,HYPER_EQUIPPED,False,,True,12.0,,,325,3,False,AS_NEW
147,Kluisbergen,HOUSE,VILLA,239000.0,4.0,130.0,SEMI_EQUIPPED,,-1.0,True,40.0,True,,842,4,,TO_RENOVATE
148,Saint-Nicolas,HOUSE,HOUSE,250000.0,5.0,176.0,SEMI_EQUIPPED,,-1.0,,,,,140,2,,TO_RENOVATE
149,Bonheiden,HOUSE,HOUSE,259000.0,4.0,116.0,SEMI_EQUIPPED,,-1.0,True,,True,,210,3,,TO_BE_DONE_UP
150,Hasselt,HOUSE,EXCEPTIONAL_PROPERTY,524900.0,3.0,281.0,INSTALLED,False,,True,,,,220,UNKNOWN,False,UNKNOWN
151,Hasselt,HOUSE,EXCEPTIONAL_PROPERTY,699000.0,2.0,407.0,INSTALLED,,,True,,,,215,,False,
152,Genk,HOUSE,HOUSE,285000.0,3.0,170.0,INSTALLED,False,,True,,,,20060,,False,
153,Putte,HOUSE,HOUSE,365000.0,3.0,232.0,INSTALLED,,,True,,,,935,,False,TO_RENOVATE
154,Putte,HOUSE,HOUSE,625000.0,3.0,203.0,HYPER_EQUIPPED,,,,,True,,496,,False,
155,Heist-op-den-Berg,APARTMENT,APARTMENT,348000.0,3.0,151.0,INSTALLED,,,True,,True,,,,False,
156,Vurste,HOUSE,HOUSE,445000.0,5.0,185.0,0,,,,,True,,235,UNKNOWN,False,UNKNOWN
