,Unnamed: 0,url,region,province,locality,property_type,property_subtype,price,number_rooms,living_area,kitchen,furnished,fireplace,terrace,terrace_area,garden,garden_area,surface_land,number_facades,swimming_pool,building_state
7302,7302,https://www.immoweb.be/en/classified/house/for-sale/monceau-sur-sambre/6031/10674616,Wallonie,Hainaut,Monceau-sur-Sambre,HOUSE,HOUSE,140000.0,4.0,179.0,SEMI_EQUIPPED,0,0,0,0.0,0,0.0,201,3,0,TO_RENOVATE
7303,7303,https://www.immoweb.be/en/classified/house/for-sale/marchin/4570/10674615,Wallonie,Liège,Marchin,HOUSE,HOUSE,185000.0,4.0,238.0,HYPER_EQUIPPED,0,0,1,45.0,0,0.0,658,2,0,GOOD
7304,7304,https://www.immoweb.be/en/classified/house/for-sale/marchin/4570/10674614,Wallonie,Liège,Marchin,HOUSE,HOUSE,285000.0,4.0,238.0,HYPER_EQUIPPED,0,0,1,45.0,0,0.0,4148,2,0,GOOD
7305,7305,https://www.immoweb.be/en/classified/house/for-sale/gerpinnes/6280/10674611,Wallonie,Hainaut,Gerpinnes,HOUSE,HOUSE,255000.0,3.0,281.0,NOT_INSTALLED,0,0,1,0.0,0,0.0,1242,4,0,
7306,7306,https://www.immoweb.be/en/classified/house/for-sale/antwerp/2018/10674605,Flanders,Antwerp,Antwerp,HOUSE,HOUSE,698000.0,6.0,300.0,INSTALLED,0,0,0,0.0,1,50.0,0,2,0,
7307,7307,https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/10509688,Brussels,Brussels,Schaerbeek,APARTMENT,APARTMENT,995000.0,4.0,340.0,NOT_INSTALLED,0,0,0,0.0,0,0.0,UNKNOWN,1,0,GOOD
7308,7308,https://www.immoweb.be/en/classified/house/for-sale/poperinge/8970/10674603,Flanders,West Flanders,Poperinge,HOUSE,HOUSE,135000.0,3.0,106.0,NOT_INSTALLED,0,0,0,0.0,0,0.0,224,3,0,TO_BE_DONE_UP
7309,7309,https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2020/10674601,Flanders,Antwerp,Antwerp,APARTMENT,APARTMENT,179000.0,0.0,81.0,INSTALLED,0,0,0,0.0,0,0.0,,4,0,GOOD
7310,7310,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/10674598,Flanders,East Flanders,Gent,APARTMENT,APARTMENT,373500.0,2.0,75.0,USA_INSTALLED,0,0,1,10.0,0,0.0,UNKNOWN,1,0,AS_NEW
7311,7311,https://www.immoweb.be/en/classified/apartment/for-sale/gentbrugge/9050/10674597,Flanders,East Flanders,GENTBRUGGE,APARTMENT,APARTMENT,373500.0,2.0,75.0,USA_INSTALLED,0,0,1,10.0,0,0.0,UNKNOWN,1,0,AS_NEW
7312,7312,https://www.immoweb.be/en/classified/flat-studio/for-sale/deurne/2100/10674595,Flanders,Antwerp,Deurne,APARTMENT,FLAT_STUDIO,85000.0,1.0,25.0,SEMI_EQUIPPED,0,0,1,5.0,0,0.0,UNKNOWN,2,0,TO_RENOVATE
7313,7313,https://www.immoweb.be/en/classified/house/for-sale/rebecq/1430/10674590,Wallonie,Walloon Brabant,REBECQ,HOUSE,HOUSE,275000.0,2.0,115.0,INSTALLED,0,1,1,90.0,1,280.0,410,2,0,
7314,7314,https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/10674585,Flanders,West Flanders,Blankenberge,APARTMENT,APARTMENT,139000.0,1.0,34.0,HYPER_EQUIPPED,0,0,1,0.0,0,0.0,,1,0,AS_NEW
7315,7315,https://www.immoweb.be/en/classified/apartment/for-sale/de%20panne/8660/10510097,Flanders,West Flanders,De Panne,APARTMENT,APARTMENT,375000.0,2.0,74.0,NOT_INSTALLED,0,0,0,0.0,0,0.0,UNKNOWN,1,0,GOOD
7316,7316,https://www.immoweb.be/en/classified/villa/for-sale/waasmunster/9250/10674576,Flanders,East Flanders,Waasmunster,HOUSE,VILLA,795000.0,3.0,395.0,NOT_INSTALLED,0,0,0,0.0,1,1661.0,1661,4,0,GOOD
7317,7317,https://www.immoweb.be/en/classified/house/for-sale/halen/3545/10674575,Flanders,Limburg,Halen,HOUSE,HOUSE,429000.0,5.0,254.0,NOT_INSTALLED,0,0,0,0.0,1,709.0,803,4,0,TO_BE_DONE_UP
