locality,latitude,longitude
Stasegem,50.8313364,3.3134022
Houthulst,50.9737961,2.9438311
Rijkevorsel,51.3503707,4.758514
Staden,50.9705029,3.0014102
Meulebeke,50.9485823,3.2863899
Ichtegem,51.0874326,3.0294625
Ganshoren,50.8703273,4.307798
Mechelen,51.0281381,4.4803453
Lillois-Witterzée,50.6460596,4.3624394
Ixelles,50.8331141,4.3668279
Rhode-Saint-Genese,50.74503,4.3463687
Filly (Houffalize),50.1457005,5.6938043
Tervuren,50.8241883,4.5138824
Brasschaat,51.2900693,4.4917295
Beringen,51.0502026,5.2208091
Zele,54.755799,18.3414797
Hoboken,40.7433066,-74.0323752
Wilrijk,51.1700864,4.3942577
Wellen,49.6692928,6.4334568
Assebroek,51.1948254,3.2538029
Veltem-Beisem,50.9020979,4.6255138
Heverlee,50.8645908,4.6937736
Sint-Idesbald,51.1092741,2.6128803
Oostduinkerke,51.1156338,2.6812656
Nieuwpoort,51.1441919,2.7281913
Manage,50.5040159,4.2355599
Sirault,50.5054072,3.7882895
Ormeignies,50.5961254,3.7505822
Hautrage,50.4823864,3.7650049
Chièvres,50.5699999,3.7793729
NeufchÃteau,48.3553014,5.6948571
Liège Rocourt,50.678042,5.547616
Genappe,50.6108733,4.4510726
Beveren,51.212885,4.2490813
Vivegnis,50.697932,5.6527071
